INFO - Siam-FC - Running command 'main'
INFO - Siam-FC - Started run with ID "57"
INFO - root - Creating training directory: /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-2
INFO - root - preproces -- siamese_fc_color
WARNING - root - root is not explicitly specified, using default value: None
INFO - root - For training, we use instance size 255 - 2 * 8 ...
WARNING - root - init_method is not explicitly specified, using default value: None
sdiufhasudf Tensor("siamese_fc/conv5/split:0", shape=(8, 8, 8, 192), dtype=float32)
Tensor("siamese_fc/conv5/def/transpose:0", shape=(8, 192, 8, 8), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b1/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc/conv5/def/transpose_1:0", shape=(8, 72, 8, 8), dtype=float32)
ddd Tensor("siamese_fc/conv5/def/b1/transpose:0", shape=(8, 6, 6, 128), dtype=float32)
Tensor("siamese_fc/conv5/def/transpose_2:0", shape=(8, 192, 8, 8), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b2/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc/conv5/def/transpose_3:0", shape=(8, 72, 8, 8), dtype=float32)
sdiufhasudf Tensor("siamese_fc_1/conv5/split:0", shape=(8, 22, 22, 192), dtype=float32)
Tensor("siamese_fc_1/conv5/def/transpose:0", shape=(8, 192, 22, 22), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b1/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc_1/conv5/def/transpose_1:0", shape=(8, 72, 22, 22), dtype=float32)
ddd Tensor("siamese_fc_1/conv5/def/b1/transpose:0", shape=(8, 20, 20, 128), dtype=float32)
Tensor("siamese_fc_1/conv5/def/transpose_2:0", shape=(8, 192, 22, 22), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b2/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc_1/conv5/def/transpose_3:0", shape=(8, 72, 22, 22), dtype=float32)
INFO - root - Model moving average is disabled since decay factor is 0
2017-12-05 07:12:01.416428: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:12:01.416467: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:12:01.416473: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:12:01.416477: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:12:01.416481: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:12:02.005634: I tensorflow/core/common_runtime/gpu/gpu_device.cc:887] Found device 0 with properties: 
name: Tesla K80
major: 3 minor: 7 memoryClockRate (GHz) 0.8235
pciBusID 5791:00:00.0
Total memory: 11.17GiB
Free memory: 11.11GiB
2017-12-05 07:12:02.005673: I tensorflow/core/common_runtime/gpu/gpu_device.cc:908] DMA: 0 
2017-12-05 07:12:02.005679: I tensorflow/core/common_runtime/gpu/gpu_device.cc:918] 0:   Y 
2017-12-05 07:12:02.005692: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K80, pci bus id: 5791:00:00.0)
INFO:tensorflow:Restoring parameters from /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-only/model.ckpt-150000
INFO - tensorflow - Restoring parameters from /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-only/model.ckpt-150000
INFO - root - Starting threads 0 ...

INFO - root - training for 332500 steps
INFO - root - 2017-12-05 07:12:05.259309: step 0, loss = 2.03, batch loss = 1.97 (3.3 examples/sec; 2.389 sec/batch; 220h:37m:25s remains)
INFO:tensorflow:/home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-2/model.ckpt-0 is not in all_model_checkpoint_paths. Manually adding it.
INFO - tensorflow - /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-2/model.ckpt-0 is not in all_model_checkpoint_paths. Manually adding it.
INFO - root - 2017-12-05 07:12:08.472530: step 10, loss = 2.06, batch loss = 2.00 (38.8 examples/sec; 0.206 sec/batch; 19h:02m:41s remains)
INFO - root - 2017-12-05 07:12:10.691400: step 20, loss = 2.06, batch loss = 2.00 (37.5 examples/sec; 0.213 sec/batch; 19h:43m:02s remains)
INFO - root - 2017-12-05 07:12:12.992451: step 30, loss = 2.04, batch loss = 1.98 (38.0 examples/sec; 0.211 sec/batch; 19h:26m:38s remains)
INFO - root - 2017-12-05 07:12:15.139669: step 40, loss = 2.03, batch loss = 1.97 (37.0 examples/sec; 0.216 sec/batch; 19h:57m:39s remains)
INFO - root - 2017-12-05 07:12:17.294225: step 50, loss = 2.05, batch loss = 1.99 (33.6 examples/sec; 0.238 sec/batch; 21h:59m:13s remains)
INFO - root - 2017-12-05 07:12:19.463127: step 60, loss = 2.03, batch loss = 1.97 (37.3 examples/sec; 0.214 sec/batch; 19h:46m:58s remains)
INFO - root - 2017-12-05 07:12:21.598656: step 70, loss = 2.03, batch loss = 1.97 (37.6 examples/sec; 0.213 sec/batch; 19h:37m:53s remains)
INFO - root - 2017-12-05 07:12:23.747003: step 80, loss = 2.07, batch loss = 2.01 (37.0 examples/sec; 0.216 sec/batch; 19h:56m:20s remains)
INFO - root - 2017-12-05 07:12:25.891159: step 90, loss = 2.06, batch loss = 2.00 (36.4 examples/sec; 0.220 sec/batch; 20h:16m:33s remains)
INFO - root - 2017-12-05 07:12:28.030897: step 100, loss = 2.06, batch loss = 2.00 (36.9 examples/sec; 0.217 sec/batch; 20h:02m:01s remains)
INFO - root - 2017-12-05 07:12:30.222187: step 110, loss = 2.04, batch loss = 1.98 (38.8 examples/sec; 0.206 sec/batch; 19h:03m:24s remains)
INFO - root - 2017-12-05 07:12:32.360527: step 120, loss = 2.07, batch loss = 2.01 (33.8 examples/sec; 0.237 sec/batch; 21h:51m:04s remains)
INFO - root - 2017-12-05 07:12:34.489031: step 130, loss = 2.07, batch loss = 2.01 (37.7 examples/sec; 0.212 sec/batch; 19h:34m:42s remains)
INFO - root - 2017-12-05 07:12:36.601511: step 140, loss = 2.04, batch loss = 1.99 (37.9 examples/sec; 0.211 sec/batch; 19h:28m:26s remains)
INFO - root - 2017-12-05 07:12:38.719398: step 150, loss = 2.05, batch loss = 1.99 (38.4 examples/sec; 0.208 sec/batch; 19h:13m:19s remains)
INFO - root - 2017-12-05 07:12:40.861035: step 160, loss = 2.07, batch loss = 2.01 (37.8 examples/sec; 0.212 sec/batch; 19h:33m:48s remains)
INFO - root - 2017-12-05 07:12:42.994179: step 170, loss = 2.05, batch loss = 1.99 (37.3 examples/sec; 0.215 sec/batch; 19h:49m:03s remains)
INFO - root - 2017-12-05 07:12:45.131791: step 180, loss = 2.06, batch loss = 2.00 (38.0 examples/sec; 0.210 sec/batch; 19h:24m:36s remains)
INFO - root - 2017-12-05 07:12:47.263606: step 190, loss = 2.03, batch loss = 1.97 (37.3 examples/sec; 0.214 sec/batch; 19h:47m:30s remains)
INFO - root - 2017-12-05 07:12:49.399302: step 200, loss = 2.03, batch loss = 1.97 (37.7 examples/sec; 0.212 sec/batch; 19h:35m:05s remains)
INFO - root - 2017-12-05 07:12:51.630933: step 210, loss = 2.06, batch loss = 2.00 (36.9 examples/sec; 0.217 sec/batch; 19h:59m:55s remains)
INFO - root - 2017-12-05 07:12:53.786725: step 220, loss = 2.07, batch loss = 2.01 (37.2 examples/sec; 0.215 sec/batch; 19h:49m:28s remains)
INFO - root - 2017-12-05 07:12:55.905694: step 230, loss = 2.05, batch loss = 1.99 (38.4 examples/sec; 0.208 sec/batch; 19h:13m:37s remains)
