INFO - Siam-FC - Running command 'main'
INFO - Siam-FC - Started run with ID "63"
INFO - root - Creating training directory: /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-2
INFO - root - preproces -- siamese_fc_color
WARNING - root - root is not explicitly specified, using default value: None
INFO - root - For training, we use instance size 255 - 2 * 8 ...
WARNING - root - init_method is not explicitly specified, using default value: None
sdiufhasudf Tensor("siamese_fc/conv5/split:0", shape=(8, 8, 8, 192), dtype=float32)
Tensor("siamese_fc/conv5/def/transpose:0", shape=(8, 192, 8, 8), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b1/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc/conv5/def/transpose_1:0", shape=(8, 72, 8, 8), dtype=float32)
ddd Tensor("siamese_fc/conv5/def/b1/transpose:0", shape=(8, 6, 6, 128), dtype=float32)
Tensor("siamese_fc/conv5/def/transpose_2:0", shape=(8, 192, 8, 8), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b2/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc/conv5/def/transpose_3:0", shape=(8, 72, 8, 8), dtype=float32)
sdiufhasudf Tensor("siamese_fc_1/conv5/split:0", shape=(8, 22, 22, 192), dtype=float32)
Tensor("siamese_fc_1/conv5/def/transpose:0", shape=(8, 192, 22, 22), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b1/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc_1/conv5/def/transpose_1:0", shape=(8, 72, 22, 22), dtype=float32)
ddd Tensor("siamese_fc_1/conv5/def/b1/transpose:0", shape=(8, 20, 20, 128), dtype=float32)
Tensor("siamese_fc_1/conv5/def/transpose_2:0", shape=(8, 192, 22, 22), dtype=float32) <tf.Variable 'siamese_fc/conv5/def/b2/weights:0' shape=(128, 192, 3, 3) dtype=float32_ref> Tensor("siamese_fc_1/conv5/def/transpose_3:0", shape=(8, 72, 22, 22), dtype=float32)
Tensor("detection/add:0", shape=(8, 15, 15), dtype=float32)
INFO - root - Model moving average is disabled since decay factor is 0
2017-12-05 07:57:49.762020: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:57:49.762059: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:57:49.762065: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:57:49.762069: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:57:49.762074: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-12-05 07:57:50.318099: I tensorflow/core/common_runtime/gpu/gpu_device.cc:887] Found device 0 with properties: 
name: Tesla K80
major: 3 minor: 7 memoryClockRate (GHz) 0.8235
pciBusID 5791:00:00.0
Total memory: 11.17GiB
Free memory: 11.11GiB
2017-12-05 07:57:50.318139: I tensorflow/core/common_runtime/gpu/gpu_device.cc:908] DMA: 0 
2017-12-05 07:57:50.318146: I tensorflow/core/common_runtime/gpu/gpu_device.cc:918] 0:   Y 
2017-12-05 07:57:50.318154: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K80, pci bus id: 5791:00:00.0)
INFO:tensorflow:Restoring parameters from /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-only/model.ckpt-150000
INFO - tensorflow - Restoring parameters from /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-only/model.ckpt-150000
INFO - root - Starting threads 0 ...

INFO - root - training for 332500 steps
INFO - root - 2017-12-05 07:57:53.962700: step 0, loss = 2.03, batch loss = 1.97 (3.1 examples/sec; 2.546 sec/batch; 235h:07m:56s remains)
INFO:tensorflow:/home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-2/model.ckpt-0 is not in all_model_checkpoint_paths. Manually adding it.
INFO - tensorflow - /home/v-chaoqw/MYSFC-ORI/track_model_checkpoints/SFC-2/model.ckpt-0 is not in all_model_checkpoint_paths. Manually adding it.
INFO - root - 2017-12-05 07:57:57.104996: step 10, loss = 2.04, batch loss = 1.98 (31.6 examples/sec; 0.254 sec/batch; 23h:24m:52s remains)
INFO - root - 2017-12-05 07:57:59.283653: step 20, loss = 2.07, batch loss = 2.01 (37.7 examples/sec; 0.212 sec/batch; 19h:35m:57s remains)
INFO - root - 2017-12-05 07:58:01.471672: step 30, loss = 2.04, batch loss = 1.98 (38.5 examples/sec; 0.208 sec/batch; 19h:12m:13s remains)
INFO - root - 2017-12-05 07:58:03.656574: step 40, loss = 2.03, batch loss = 1.98 (37.7 examples/sec; 0.212 sec/batch; 19h:34m:23s remains)
INFO - root - 2017-12-05 07:58:05.892523: step 50, loss = 2.04, batch loss = 1.98 (38.3 examples/sec; 0.209 sec/batch; 19h:17m:09s remains)
INFO - root - 2017-12-05 07:58:08.023627: step 60, loss = 2.01, batch loss = 1.95 (37.8 examples/sec; 0.212 sec/batch; 19h:34m:06s remains)
INFO - root - 2017-12-05 07:58:10.185840: step 70, loss = 2.00, batch loss = 1.94 (37.0 examples/sec; 0.216 sec/batch; 19h:58m:53s remains)
INFO - root - 2017-12-05 07:58:12.334050: step 80, loss = 2.04, batch loss = 1.98 (37.3 examples/sec; 0.215 sec/batch; 19h:48m:39s remains)
INFO - root - 2017-12-05 07:58:14.476973: step 90, loss = 2.03, batch loss = 1.97 (37.0 examples/sec; 0.216 sec/batch; 19h:56m:57s remains)
INFO - root - 2017-12-05 07:58:16.634458: step 100, loss = 2.03, batch loss = 1.97 (37.5 examples/sec; 0.213 sec/batch; 19h:41m:38s remains)
INFO - root - 2017-12-05 07:58:18.833798: step 110, loss = 2.02, batch loss = 1.96 (37.1 examples/sec; 0.216 sec/batch; 19h:55m:37s remains)
INFO - root - 2017-12-05 07:58:20.958357: step 120, loss = 2.04, batch loss = 1.98 (38.5 examples/sec; 0.208 sec/batch; 19h:12m:28s remains)
INFO - root - 2017-12-05 07:58:23.089687: step 130, loss = 2.02, batch loss = 1.96 (37.3 examples/sec; 0.214 sec/batch; 19h:47m:40s remains)
INFO - root - 2017-12-05 07:58:25.242809: step 140, loss = 2.00, batch loss = 1.94 (38.0 examples/sec; 0.211 sec/batch; 19h:27m:26s remains)
INFO - root - 2017-12-05 07:58:27.398608: step 150, loss = 1.97, batch loss = 1.92 (35.9 examples/sec; 0.223 sec/batch; 20h:34m:42s remains)
INFO - root - 2017-12-05 07:58:29.537091: step 160, loss = 2.02, batch loss = 1.96 (37.3 examples/sec; 0.214 sec/batch; 19h:48m:01s remains)
INFO - root - 2017-12-05 07:58:31.653273: step 170, loss = 1.98, batch loss = 1.92 (37.5 examples/sec; 0.214 sec/batch; 19h:43m:06s remains)
INFO - root - 2017-12-05 07:58:33.780587: step 180, loss = 1.98, batch loss = 1.92 (37.4 examples/sec; 0.214 sec/batch; 19h:45m:13s remains)
INFO - root - 2017-12-05 07:58:35.909971: step 190, loss = 1.92, batch loss = 1.86 (38.3 examples/sec; 0.209 sec/batch; 19h:16m:12s remains)
INFO - root - 2017-12-05 07:58:38.082470: step 200, loss = 1.95, batch loss = 1.89 (37.3 examples/sec; 0.215 sec/batch; 19h:49m:09s remains)
INFO - root - 2017-12-05 07:58:40.300915: step 210, loss = 1.94, batch loss = 1.88 (36.9 examples/sec; 0.217 sec/batch; 20h:00m:04s remains)
INFO - root - 2017-12-05 07:58:42.426675: step 220, loss = 1.97, batch loss = 1.92 (37.8 examples/sec; 0.211 sec/batch; 19h:30m:32s remains)
INFO - root - 2017-12-05 07:58:44.583015: step 230, loss = 1.96, batch loss = 1.91 (37.7 examples/sec; 0.212 sec/batch; 19h:35m:22s remains)
INFO - root - 2017-12-05 07:58:46.733644: step 240, loss = 1.97, batch loss = 1.91 (37.5 examples/sec; 0.213 sec/batch; 19h:42m:01s remains)
